date,description,amount,type,balance,account_last4,account_name,source_file,category,subcategory,confidence
2025-01-13,Deposit,2675.0,credit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_January_2025.pdf,REVENUE,Customer Payment,0.65
2025-01-16,POS Purchase T-Mobile Columbus Oh POS94910400 1337060,-58.0,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_January_2025.pdf,OVERHEAD,Phone/Utilities,0.92
2025-01-16,POS Purchase T-MobileColumbus Oh POS94910400 1337061,-42.99,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_January_2025.pdf,OVERHEAD,Phone/Utilities,0.92
2025-01-17,3349 Debit Card Purchase T-Mobile Store # 9491,-10.75,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_January_2025.pdf,OVERHEAD,Phone/Utilities,0.92
2025-01-21,Corporate ACH Payments,-2155.5,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_January_2025.pdf,UNKNOWN,Needs Manual Review,0.5
2025-01-24,9929 Debit Card Purchase Stone Creek Storage,-118.31,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_January_2025.pdf,OVERHEAD,Storage/Rent,0.88
2025-01-27,Online Transfer From 0000004188771525 ROOF SMART LLC,12961.48,credit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_January_2025.pdf,TRANSFERS,Inter-Account Transfer,0.95
2025-01-27,9929 Debit Card Purchase Dollar-General #2871,-5.36,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_January_2025.pdf,COGS,Supplies and Materials,0.6
2025-01-28,3349 Recurring Debit Card Intuit *Qbooks Online,-74.5,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_January_2025.pdf,OVERHEAD,Software/Subscriptions,0.92
2025-01-31,Withdrawal,-300.0,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_January_2025.pdf,TRANSFERS,Cash Withdrawal,0.7
2025-02-04,9929 Debit Card Purchase Crager's Ink Solutions,-51.06,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_February_2025.pdf,MARKETING,Marketing,0.95
2025-02-06,9929 Debit Card Purchase Amazon Mktpl*Z761L9E21,-671.99,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_February_2025.pdf,COGS,Supplies and Materials,0.7
2025-02-10,3349 Debit Card Purchase Cgi Insurance Group Ll,-108.68,debit,0.0,9392,Business Checking,Business_Checking_x9392_Statement_February_2025.pdf,OVERHEAD,Insurance Expenses,0.92
